City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Iguape,BR,-24.71,-47.56,60.03,82,7,5.88,clear sky
84,Mackay,AU,-21.15,149.2,73.0,56,0,16.11,clear sky
85,Cherskiy,RU,68.75,161.3,39.0,94,100,5.73,light rain
86,Vao,NC,-22.67,167.48,70.57,70,73,11.18,broken clouds
87,Hobart,AU,-42.88,147.33,48.99,75,75,9.17,light intensity shower rain
88,Moratuwa,LK,6.77,79.88,87.8,70,40,8.05,scattered clouds
89,Norman Wells,CA,65.28,-126.83,62.6,55,20,8.05,few clouds
90,Puerto Ayora,EC,-0.74,-90.35,64.99,91,14,8.01,few clouds
91,Alyangula,AU,-13.85,136.42,84.2,28,0,13.87,clear sky
92,Ligayan,PH,4.65,119.47,84.87,70,82,8.86,broken clouds
93,Along,IN,28.17,94.77,93.16,48,17,3.8,few clouds
94,Port Lincoln,AU,-34.73,135.87,53.44,69,66,5.39,broken clouds
95,Grindavik,IS,63.84,-22.43,46.4,100,4,5.82,fog
96,Georgetown,MY,5.41,100.34,91.4,66,20,8.05,few clouds
97,Iqaluit,CA,63.75,-68.51,39.2,93,90,3.36,overcast clouds
98,Mogadishu,SO,2.04,45.34,78.8,69,75,13.87,broken clouds
99,Kismayo,SO,-0.36,42.55,80.83,63,3,15.19,clear sky
100,Tuatapere,NZ,-46.13,167.68,52.0,91,33,5.99,scattered clouds
101,Tisul,RU,55.76,88.31,65.39,74,5,7.92,light rain
102,Nemuro,JP,43.32,145.57,69.8,83,40,8.05,scattered clouds
103,Pala,TD,9.36,14.9,70.59,95,99,5.88,moderate rain
104,Mehamn,NO,71.04,27.85,55.4,82,75,13.87,broken clouds
105,Sibu,MY,2.3,111.82,89.6,66,40,6.93,scattered clouds
106,Padang,ID,-0.95,100.35,85.53,71,12,4.0,light rain
107,Ulagan,RU,50.63,87.96,66.0,33,89,9.15,overcast clouds
108,Severo-Kurilsk,RU,50.68,156.12,53.02,89,91,5.08,overcast clouds
109,Aykhal,RU,66.0,111.5,62.6,36,15,2.24,few clouds
110,Taree,AU,-31.9,152.47,64.4,23,0,9.17,clear sky
111,Gizo,SB,-8.1,156.84,82.22,77,100,10.92,light rain
112,Greaca,RO,44.11,26.34,73.99,78,0,6.93,clear sky
113,Vila Franca Do Campo,PT,37.72,-25.43,71.6,88,75,4.7,broken clouds
114,Kothen,DE,51.75,11.97,64.99,82,100,8.86,overcast clouds
115,Hermanus,ZA,-34.42,19.23,54.0,95,100,1.01,overcast clouds
116,Tasiilaq,GL,65.61,-37.64,33.8,81,2,6.93,clear sky
117,Barrow,US,71.29,-156.79,39.2,93,90,8.05,mist
118,Jamestown,US,42.1,-79.24,66.0,93,1,4.7,clear sky
119,Praia,CV,14.92,-23.51,80.6,83,20,3.36,few clouds
120,Faanui,PF,-16.48,-151.75,77.22,81,6,22.82,light rain
121,Kashi,CN,39.45,75.98,89.6,25,0,4.47,clear sky
122,San Quintin,MX,30.48,-115.95,73.78,76,0,10.94,clear sky
123,Hongjiang,CN,27.11,110.0,94.46,50,50,5.84,scattered clouds
124,Nanortalik,GL,60.14,-45.24,41.49,90,0,7.38,clear sky
125,Sao Joao Da Barra,BR,-21.64,-41.05,61.25,79,0,11.01,clear sky
126,Tabou,CI,4.42,-7.35,75.45,83,100,7.31,overcast clouds
127,Kahului,US,20.89,-156.47,82.4,65,1,13.87,clear sky
128,Liberty,US,31.83,-81.5,78.8,88,1,2.44,clear sky
129,Xuddur,SO,4.12,43.89,80.83,47,66,19.66,broken clouds
130,Butaritari,KI,3.07,172.79,82.65,76,74,11.07,light rain
131,Gorontalo,ID,0.54,123.06,85.91,65,22,6.24,light rain
132,La Ronge,CA,55.1,-105.28,57.2,82,90,2.24,overcast clouds
133,Candolim,IN,15.52,73.76,78.8,94,90,13.87,shower rain
134,Provideniya,RU,64.38,-173.3,53.6,76,90,6.71,overcast clouds
135,Tura,IN,25.52,90.22,84.22,84,11,1.7,moderate rain
136,Soyo,AO,-6.13,12.37,73.4,94,75,5.59,broken clouds
137,Ilinskiy,RU,55.62,38.12,66.2,68,80,8.95,broken clouds
138,Karlstad,SE,59.38,13.5,52.0,100,21,6.93,few clouds
139,Fortuna,US,40.6,-124.16,55.0,93,90,3.36,overcast clouds
140,Avarua,CK,-21.21,-159.78,73.4,73,23,4.7,few clouds
141,Messina,IT,38.19,15.55,82.0,78,20,5.82,few clouds
142,Poum,NC,-20.23,164.02,71.98,77,28,19.13,scattered clouds
143,Parati,BR,-23.22,-44.71,58.5,81,1,1.79,clear sky
144,Luderitz,NA,-26.65,15.16,59.13,59,0,6.4,clear sky
145,Kaeo,NZ,-35.1,173.78,55.99,3,94,3.0,light rain
