City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Yar-Sale,RU,61.38,broken clouds,66.83,70.83,Yalemd
78,Kargopol,RU,60.66,overcast clouds,61.51,38.95,Moroshka Inn
79,Bethel,US,71.01,mist,41.37,-73.41,Courtyard by Marriott Danbury
80,Port Alfred,ZA,61.14,overcast clouds,-33.59,26.89,The Halyards Hotel
81,College,US,57.2,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
82,Buala,SB,82.08,light rain,-8.14,159.59,Maringe Lagoon Lodge
83,Iguape,BR,60.03,clear sky,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
84,Mackay,AU,73.0,clear sky,-21.15,149.2,International Lodge Motel
85,Cherskiy,RU,39.0,light rain,68.75,161.3,Gostinitsa
86,Vao,NC,70.57,broken clouds,-22.67,167.48,Hotel Kou-Bugny
87,Hobart,AU,48.99,light intensity shower rain,-42.88,147.33,St Ives Apartments
88,Moratuwa,LK,87.8,scattered clouds,6.77,79.88,Sa Mansion By Yoho
89,Norman Wells,CA,62.6,few clouds,65.28,-126.83,Heritage Hotel
90,Puerto Ayora,EC,64.99,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
91,Alyangula,AU,84.2,clear sky,-13.85,136.42,Groote Eylandt Lodge
92,Ligayan,PH,84.87,broken clouds,4.65,119.47,
93,Along,IN,93.16,few clouds,28.17,94.77,Hotel West
94,Port Lincoln,AU,53.44,broken clouds,-34.73,135.87,Port Lincoln Hotel
95,Grindavik,IS,46.4,fog,63.84,-22.43,Northern Light Inn & Max's Restaurant
96,Georgetown,MY,91.4,few clouds,5.41,100.34,Cititel Penang
97,Iqaluit,CA,39.2,overcast clouds,63.75,-68.51,Frobisher Inn
98,Mogadishu,SO,78.8,broken clouds,2.04,45.34,Hotel Juba
99,Kismayo,SO,80.83,clear sky,-0.36,42.55,Agan-Hotel
100,Tuatapere,NZ,52.0,scattered clouds,-46.13,167.68,Tom Cruse Refreshment Company
101,Tisul,RU,65.39,light rain,55.76,88.31,Gostinitsa
102,Nemuro,JP,69.8,scattered clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
103,Pala,TD,70.59,moderate rain,9.36,14.9,Hotel Pala Palace
104,Mehamn,NO,55.4,broken clouds,71.04,27.85,Mehamn Arctic Hotel AS
105,Sibu,MY,89.6,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
106,Padang,ID,85.53,light rain,-0.95,100.35,Mercure Padang
107,Ulagan,RU,66.0,overcast clouds,50.63,87.96,Gostevoy Dom
108,Severo-Kurilsk,RU,53.02,overcast clouds,50.68,156.12,Kak Doma
109,Aykhal,RU,62.6,few clouds,66.0,111.5,
110,Taree,AU,64.4,clear sky,-31.9,152.47,All Seasons Country Lodge Taree
111,Gizo,SB,82.22,light rain,-8.1,156.84,Imagination Island
112,Greaca,RO,73.99,clear sky,44.11,26.34,Domeniul Greaca
113,Vila Franca Do Campo,PT,71.6,broken clouds,37.72,-25.43,Pestana Bahia Praia
114,Kothen,DE,64.99,overcast clouds,51.75,11.97,Hotel Anhalt
115,Hermanus,ZA,54.0,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
116,Tasiilaq,GL,33.8,clear sky,65.61,-37.64,The Red House
117,Barrow,US,39.2,mist,71.29,-156.79,King Eider Inn
118,Jamestown,US,66.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
119,Praia,CV,80.6,few clouds,14.92,-23.51,LT Aparthotel
120,Faanui,PF,77.22,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Kashi,CN,89.6,clear sky,39.45,75.98,帕米尔青年旅舍
122,San Quintin,MX,73.78,clear sky,30.48,-115.95,Old Mill Hotel
123,Hongjiang,CN,94.46,scattered clouds,27.11,110.0,洪江大酒店
124,Nanortalik,GL,41.49,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
125,Sao Joao Da Barra,BR,61.25,clear sky,-21.64,-41.05,Pousada Porto De Canoas
126,Tabou,CI,75.45,overcast clouds,4.42,-7.35,hotêl doufoulougou
127,Kahului,US,82.4,clear sky,20.89,-156.47,Maui Seaside Hotel
128,Liberty,US,78.8,clear sky,31.83,-81.5,Sasser Trailer Park
129,Xuddur,SO,80.83,broken clouds,4.12,43.89,Banjanay Hotel
130,Butaritari,KI,82.65,light rain,3.07,172.79,Isles Sunset Lodge
131,Gorontalo,ID,85.91,light rain,0.54,123.06,Maqna Hotel by Prasanthi
132,La Ronge,CA,57.2,overcast clouds,55.1,-105.28,Northland Motor Hotel
133,Candolim,IN,78.8,shower rain,15.52,73.76,Resort Terra Paraiso
134,Provideniya,RU,53.6,overcast clouds,64.38,-173.3,
135,Tura,IN,84.22,moderate rain,25.52,90.22,Hotel RIKMAN Continental
136,Soyo,AO,73.4,broken clouds,-6.13,12.37,Hotel Mpampa
137,Ilinskiy,RU,66.2,broken clouds,55.62,38.12,Around the world
138,Karlstad,SE,52.0,few clouds,59.38,13.5,Scandic Karlstad City
139,Fortuna,US,55.0,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
140,Avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
141,Messina,IT,82.0,few clouds,38.19,15.55,Hotel Touring
142,Poum,NC,71.98,scattered clouds,-20.23,164.02,Gîte kajeon
143,Parati,BR,58.5,clear sky,-23.22,-44.71,Che Lagarto Hostel Paraty
145,Kaeo,NZ,55.99,light rain,-35.1,173.78,Bushido Lodge
146,Aswan,EG,94.51,clear sky,24.09,32.91,Nuba Nile
147,Staryy Nadym,RU,61.7,overcast clouds,65.61,72.68,
148,Bredasdorp,ZA,55.4,light rain,-34.53,20.04,Bredasdorp Country Manor
149,Mumford,GH,73.65,overcast clouds,5.26,-0.76,Spanish Villa
150,Bhadrachalam,IN,87.21,moderate rain,17.67,80.88,Hotel Srinidhi Residency
151,Port Elizabeth,ZA,59.0,light intensity drizzle,-33.92,25.57,39 On Nile Guest House
152,Port Hueneme,US,72.0,clear sky,34.15,-119.2,Hampton Inn Channel Islands Harbor
153,Miraflores,MX,60.8,broken clouds,19.22,-98.81,Hotel Mansión
154,Sakaiminato,JP,87.8,few clouds,35.55,133.23,味処・民宿 まつや
155,Novomikhaylovskiy,RU,77.88,clear sky,44.26,38.86,Hotel Calypso
156,Loiza,PR,82.4,scattered clouds,18.43,-65.88,Malibu Beachfront
157,Dunedin,NZ,50.0,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
158,Wallaceburg,CA,71.6,fog,42.59,-82.39,Days Inn by Wyndham Wallaceburg
159,Lahat,ID,92.64,few clouds,-3.8,103.53,Bukit Serelo Hotel
160,Palmer,US,66.2,few clouds,42.16,-72.33,Wedgewood Motel
161,Klaksvik,FO,46.4,light rain,62.23,-6.59,Geilin Bed & Breakfast
162,Promyshlennyy,RU,57.22,clear sky,67.58,63.92,
163,Hambantota,LK,93.2,scattered clouds,6.12,81.12,Bungalow 63
164,Constitucion,CL,50.36,overcast clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
165,Ribeira Grande,PT,73.4,broken clouds,38.52,-28.7,Quinta da Meia Eira
166,Pag,HR,80.6,clear sky,44.45,15.06,Hotel Meridijan
167,Faya,SA,82.4,clear sky,18.39,42.45,مقبرة ال مجمل
168,La Asuncion,VE,80.6,overcast clouds,11.03,-63.86,Colinas de Matasiete
169,Vila Do Maio,CV,80.6,few clouds,15.13,-23.22,Residence 'I Delfini'
170,Najran,SA,96.8,scattered clouds,17.49,44.13,محمد هادي ال فطيح
171,Akcakoca,TR,79.57,clear sky,41.09,31.12,Turkuaz Beach Otel
172,Sao Gabriel Da Cachoeira,BR,71.62,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
173,Igrim,RU,64.33,scattered clouds,63.19,64.42,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
174,Kloulklubed,PW,87.8,broken clouds,7.04,134.26,Storyboard Beach Resort
175,Aklavik,CA,64.4,scattered clouds,68.22,-135.01,Aklavik Inn
176,Khrebtovaya,RU,69.28,overcast clouds,56.7,104.25,
177,Trelew,AR,49.82,overcast clouds,-43.25,-65.31,Hotel Touring Club
178,Manzanillo,CU,76.62,heavy intensity rain,20.34,-77.12,Adrian & Tonia
179,Matagami,CA,41.0,clear sky,49.75,-77.63,Hôtel Matagami
180,Tatawin,TN,75.2,few clouds,32.93,10.45,Sangho Privilege Tataouine
181,Fort Nelson,CA,51.8,broken clouds,58.81,-122.7,The Fort Nelson Hotel
182,Bambanglipuro,ID,83.8,scattered clouds,-7.95,110.28,Puri Brata
183,Wollongong,AU,63.0,clear sky,-34.43,150.88,Flinders Motel
184,Kodiak,US,57.2,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
185,Port Hardy,CA,50.0,clear sky,50.7,-127.42,Airport Inn
186,Paamiut,GL,42.03,clear sky,61.99,-49.67,Yeet Hotel
187,Saldanha,ZA,56.8,overcast clouds,-33.01,17.94,Blue Bay Lodge
188,San Patricio,MX,78.89,light rain,19.22,-104.7,Hotel Cabo Blanco
189,Port Moresby,PG,80.6,haze,-9.44,147.18,Lamana Hotel
190,Cabedelo,BR,68.0,broken clouds,-6.98,-34.83,Lua Mansa Pousada
191,Novyy Urengoy,RU,54.12,light rain,66.08,76.63,Hotel Urengoy
192,Alghero,IT,75.2,few clouds,40.56,8.32,Hotel Carlos V
193,Rocky Mountain House,CA,52.3,overcast clouds,52.37,-114.92,Walking Eagle Inn & Lodge
194,Marawi,PH,84.99,moderate rain,8.0,124.29,Salihmaruhom
195,Elizabeth City,US,77.0,scattered clouds,36.29,-76.25,Hampton Inn Elizabeth City
196,Trairi,BR,74.08,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
197,Portland,US,66.99,clear sky,45.52,-122.68,Portland Marriott City Center
199,Palatka,US,81.0,overcast clouds,29.65,-81.64,Holiday Inn Express & Suites Palatka Northwest
200,Anadyr,RU,55.4,broken clouds,64.75,177.48,"Гостиница ""Анадырь"""
201,Avera,US,73.4,clear sky,33.19,-82.53,
202,Eyl,SO,88.0,scattered clouds,7.98,49.82,Amiin Hotel
203,Pangnirtung,CA,43.52,overcast clouds,66.15,-65.71,Kilabuk Lodge
204,Pestravka,RU,72.12,scattered clouds,52.41,49.96,"Gostinitsa ""Germes"""
205,Lata,PT,62.01,clear sky,40.16,-8.33,Casa Maquia
206,Namtsy,RU,53.6,broken clouds,62.72,129.67,"""Эңсиэли Киин"""
207,Muravlenko,RU,62.87,light rain,63.79,74.52,Hostel Rus Muravlenko
208,Rabo De Peixe,PT,71.6,broken clouds,37.8,-25.58,Quinta das Giestas
209,Hasaki,JP,93.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
210,Pandamatenga,BW,68.63,clear sky,-18.53,25.63,Wildtrack Safaris Eco Lodge
211,Ferme-Neuve,CA,59.86,overcast clouds,46.7,-75.45,Pourvoirie Club Fontbrune Ltee
212,Morgan City,US,75.99,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
213,Dalnegorsk,RU,72.27,overcast clouds,44.56,135.57,Dalnegorsk
214,Paramonga,PE,59.23,broken clouds,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
215,Preobrazheniye,RU,72.23,overcast clouds,42.9,133.91,Campsite Orlan
216,Araguacu,BR,81.27,overcast clouds,-12.93,-49.83,Brunas Park Hotel
217,Colares,PT,68.0,few clouds,38.8,-9.45,Arribas Sintra Hotel
218,Nannilam,IN,92.79,overcast clouds,10.88,79.61,RAJA RANI LODGE
219,Tabas,IR,98.6,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
220,Swan River,CA,58.86,few clouds,52.11,-101.27,Super 8 by Wyndham Swan River MB
221,Salumbar,IN,78.8,haze,24.13,74.05,chatra chaya guest house
222,Isangel,VU,78.39,light rain,-19.55,169.27,Volcano Sea View Tree House
223,Lagoa,PT,72.75,clear sky,39.05,-27.98,Casa Das Faias
224,Hamilton,US,71.6,mist,39.18,-84.53,Six Acres Bed & Breakfast
225,Ambilobe,MG,89.64,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
226,Olafsvik,IS,49.3,few clouds,64.89,-23.71,Hotel Olafsvik
227,Hay River,CA,53.6,broken clouds,60.82,-115.8,Ptarmigan Inn Hotels
228,Ballina,AU,66.2,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
229,Edd,ER,95.77,overcast clouds,13.93,41.69,
230,Dzhebariki-Khaya,RU,52.27,overcast clouds,62.22,135.8,
231,Joshimath,IN,76.71,light rain,30.57,79.57,Shivalik Camps & Resort
232,Nhulunbuy,AU,80.6,clear sky,-12.23,136.77,East Arnhem Real Estate
233,Sohag,EG,82.4,clear sky,26.56,31.69,Civil Registry - Sohag 1
234,Pisco,PE,61.0,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
235,Mildura,AU,55.4,broken clouds,-34.2,142.15,Mercure Hotel Mildura
236,Xining,CN,75.06,scattered clouds,36.62,101.77,Super Leisure Hotel
237,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
238,Mahanje,TZ,69.01,light rain,-9.93,35.33,
239,Victoria,HK,91.4,few clouds,22.29,114.16,Mini Hotel Central
240,Almaznyy,RU,73.4,clear sky,48.04,40.05,
241,Springfield,US,73.99,clear sky,37.22,-93.3,Best Western Route 66 Rail Haven
242,Algeciras,ES,69.8,fog,36.13,-5.45,AC Hotel by Marriott Algeciras
243,Boende,CD,72.25,overcast clouds,-0.22,20.87,
244,Kaitangata,NZ,51.01,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
245,Dudinka,RU,62.6,broken clouds,69.41,86.18,Hotel Viktoria
246,Calabozo,VE,72.37,light rain,8.92,-67.43,Hotel Giardini
247,Nioro,GM,74.62,overcast clouds,13.35,-15.75,
248,Erenhot,CN,84.02,clear sky,43.65,111.98,Erenhot Rurouni Youth Hostel
249,Wajima,JP,78.8,broken clouds,37.4,136.9,Wajiima Onsen Yashio
250,Chuy,UY,54.21,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
251,Santa Rosalia,MX,88.93,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
252,Nkayi,CG,75.94,broken clouds,-4.18,13.29,Declaise de M'BAMA
253,Harqalah,TN,78.8,clear sky,36.03,10.51,Dar Khadija
254,Byron Bay,AU,63.0,clear sky,-28.65,153.62,Backpackers Inn on the Beach
255,Kavieng,PG,78.96,light rain,-2.57,150.8,Nusa Island Retreat
256,Harper,LR,75.63,overcast clouds,4.38,-7.72,Screensaver
257,Ponta Delgada,PT,71.6,broken clouds,37.73,-25.67,Vila Nova Hotel
258,Noumea,NC,73.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
259,Zeya,RU,58.91,overcast clouds,53.75,127.27,Kapital Inn
260,Quilmana,PE,59.23,broken clouds,-12.95,-76.38,Hospedaje SAN ANTONIO
261,Verkhoyansk,RU,51.55,overcast clouds,67.54,133.38,
262,Kushiro,JP,68.0,few clouds,42.98,144.37,東横INN釧路十字街
263,High Level,CA,53.6,overcast clouds,58.52,-117.14,Days Inn by Wyndham High Level
264,Dingle,PH,87.89,light rain,11.0,122.67,Camp Pasica
265,Inyonga,TZ,73.63,broken clouds,-6.72,32.07,Eden Rock Lodge
266,Marsh Harbour,BS,85.12,clear sky,26.54,-77.06,Abaco Beach Resort
267,Berezovyy,RU,67.19,overcast clouds,51.67,135.7,"Hotel ""Phoenix"""
268,Pucallpa,PE,66.49,broken clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
269,Pimentel,PE,59.09,clear sky,-6.84,-79.93,Casona Del Muelle
270,Los Llanos De Aridane,ES,79.0,few clouds,28.66,-17.92,Valle Aridane
271,Puerto Quijarro,BO,68.16,clear sky,-17.78,-57.77,Hotel palance
272,Rio Gallegos,AR,30.2,clear sky,-51.62,-69.22,Hotel Santa Cruz
273,Sitka,US,57.2,overcast clouds,57.05,-135.33,Westmark Sitka
274,Lima,PE,60.8,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
275,Ushtobe,KZ,93.0,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
276,Sarakhs,IR,84.2,clear sky,36.54,61.16,Sarakhs Abrisham Hotel
277,Deputatskiy,RU,36.01,overcast clouds,69.3,139.9,Baza Otdykha
278,Campo Grande,BR,66.2,clear sky,-20.44,-54.65,OYO Hotel Iguaçu
279,Hualmay,PE,59.09,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
280,Kudahuvadhoo,MV,83.75,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
281,Abay,KZ,64.4,light intensity shower rain,49.63,72.85,Guest House on Abaya 144
282,Yumen,CN,91.11,clear sky,40.28,97.2,
283,Hofn,IS,47.97,overcast clouds,64.25,-15.21,Hótel Höfn
284,Kirkland Lake,CA,55.4,mist,48.14,-80.04,Comfort Inn
285,Codrington,AU,49.39,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
286,Bereda,ES,57.0,overcast clouds,43.27,-7.54,Pazo de Verdes
287,Miandrivazo,MG,82.36,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
288,Santa Cruz,BO,62.6,clear sky,-17.8,-63.17,Hotel Cortez
289,Kuala Kedah,MY,89.6,few clouds,6.1,100.3,Artini Homestay
290,Bria,CF,73.17,overcast clouds,6.54,21.99,
291,Kokkola,FI,55.99,light intensity shower rain,63.84,23.13,Hotel Kokkola
292,Flinders,AU,62.01,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
293,Progreso,MX,77.0,overcast clouds,21.28,-89.67,Playa Linda Hotel
294,Neiafu,TO,77.0,few clouds,-18.65,-173.98,Mystic Sands
295,Saint George,US,77.0,moderate rain,37.1,-113.58,Best Western Plus Abbey Inn
296,Zhangye,CN,87.08,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
297,Soller,ES,75.0,scattered clouds,39.77,2.72,Hotel Marina & Wellness Spa
298,Mar Del Plata,AR,51.01,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
299,Banjar,ID,84.2,few clouds,-8.19,114.97,The Hamsa Resort
300,Brigantine,US,73.99,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
301,Khuzhir,RU,59.92,broken clouds,53.19,107.34,Отель на озере Байкал Baikal View
302,Srednekolymsk,RU,39.24,overcast clouds,67.45,153.68,
303,Laguna,US,79.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
304,Kijang,KR,91.4,few clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
305,Buarcos,PT,64.4,fog,40.17,-8.88,Hotel Sweet Atlantic SPA
306,Gloversville,US,66.0,clear sky,43.05,-74.34,Holiday Inn Johnstown-Gloversville
307,Adrar,MR,88.48,clear sky,20.5,-10.07,
308,Ilulissat,GL,37.4,fog,69.22,-51.1,Hotel Arctic
309,Raymondville,US,78.01,clear sky,26.48,-97.78,La Quinta Inn & Suites by Wyndham Raymondville
